CountyCode,log_permil
30083,-2.4407805917454453
17185,-2.441651141117043
39153,-2.4419769391399613
42027,-2.445224877982559
45007,-2.4478001706542774
26009,-2.4485883871138885
51081,-2.460101530869029
48309,-2.468640143990686
29011,-2.47721044315353
51810,-2.4774269923762353
12001,-2.482995734242225
51510,-2.4836879587677263
42049,-2.4856563686785464
13029,-2.491275216238876
18009,-2.4972468618726054
29055,-2.4974114709264748
40021,-2.4993846689686534
26101,-2.5003287816755235
01081,-2.5038982393830556
12005,-2.5067442421745496
39007,-2.507880306144476
12095,-2.508281625433501
39119,-2.5092275324358915
21197,-2.5102494574597953
51650,-2.510411940196362
36079,-2.5146676969488304
01073,-2.5212219004030683
29099,-2.5222827139039556
36123,-2.5226438913463314
13049,-2.525488615503647
18173,-2.5256966437962447
48473,-2.528026003356939
44009,-2.535979919972001
46081,-2.536905944898381
29001,-2.539986516054955
41005,-2.545683220843878
48029,-2.5473112732680026
13147,-2.5476075460266974
20059,-2.5478814489493886
08007,-2.5536550469490944
48007,-2.5541605983024898
41007,-2.555468659903131
45091,-2.5592639956074295
01069,-2.5654876740816035
25027,-2.5656682687020833
49035,-2.5679448664413353
17055,-2.568941378731074
21239,-2.5697072514804655
08069,-2.5708284911414903
28089,-2.575603933801904
48451,-2.5767258948791594
39009,-2.583031047781199
41067,-2.58361840680918
21233,-2.5889663197127786
47185,-2.589754534072814
36029,-2.5914034761219855
45059,-2.5919207974424823
56015,-2.5945081597030812
25001,-2.594676181434287
45051,-2.5975592633560307
18157,-2.5976984137676573
51161,-2.597714366080876
30049,-2.5994548293048205
18141,-2.599503132290883
18167,-2.60205059237902
17199,-2.603578179505499
39123,-2.606042084561189
51199,-2.60971678926714
51740,-2.6106158621063833
49005,-2.6129496289582943
48463,-2.61318992007825
47059,-2.619073257287496
26057,-2.6198745101984846
37067,-2.621741607405571
27159,-2.6218385042831445
18067,-2.621862727035577
31185,-2.6242337150090993
18081,-2.625866819982948
39147,-2.6274364971079645
22013,-2.6293676790677414
35047,-2.6304489550786583
48143,-2.630905143036005
32003,-2.6324289588088345
36047,-2.6326688639574085
20091,-2.6330033267792987
42003,-2.6336572233032722
39113,-2.6376258544155182
17031,-2.640884500292119
30081,-2.6411503757603962
22057,-2.642164741504141
29165,-2.6422054303665874
47017,-2.642337657736829
35017,-2.6490076604684267
51630,-2.6496086114029627
06007,-2.651761996755421
39161,-2.651903040479209
39111,-2.6539459421090092
17193,-2.6596999401611634
47009,-2.6600264098606794
31151,-2.6624250230759348
26107,-2.667714199579336
06085,-2.6694198299535197
40125,-2.6712478945781055
27053,-2.6741348562279548
01113,-2.677109778195573
24021,-2.6785648471436665
45079,-2.682852044079117
24031,-2.688003656736737
13137,-2.691152683219685
06069,-2.698235527713819
30047,-2.6999508228455604
48099,-2.7038547458080413
19129,-2.7061817900421823
48353,-2.707583425512766
53011,-2.7123805963381704
53071,-2.7137008726110246
05031,-2.7159711285168204
29121,-2.719319793360441
29117,-2.7235954124376724
48255,-2.7248417637420466
21107,-2.7279399705708993
39099,-2.73006388982478
01097,-2.732046395398998
34015,-2.733444321964072
53041,-2.7352242851395654
21177,-2.74174284206868
20173,-2.7418072979003436
54039,-2.742134884156465
47065,-2.744306658967893
06081,-2.747790141024729
18165,-2.7501513771208455
04005,-2.7508826178132497
